TreeID,species,Plot,tree_plot,height,diam10 cm,wt (stem),Bag Type,Stem Mass (dry),weight leaves,year,Total Mass,Total Branch Mass
6038,B. populifolia,10,S,169.5,14.4,NA,NA,114.93,NA,2013,114.93,43.68
6039,B. populifolia,10,S,241.5,24.6,NA,NA,495.18,NA,2013,495.18,207.13
6036,B. populifolia,10,N,244,31.7,NA,NA,NA,NA,2013,NA,NA
6037,B. populifolia,10,N,244,19.4,NA,NA,687.98,NA,2013,687.98,385.93
6442,P. serotina,11,S,2.5,NA,NA,NA,NA,NA,2013,NA,NA
6440,P. serotina,11,N,8,1.1,NA,NA,NA,NA,2013,NA,NA
6443,P. serotina,11,S,10,1,NA,NA,NA,NA,2013,NA,NA
6640,U. americana,11,N,10.5,1.4,NA,NA,NA,NA,2013,NA,NA
6242,P. grandidentata,11,S,12,2.9,NA,NA,NA,NA,2013,NA,NA
6641,U. americana,11,N,45.5,5.6,NA,NA,4.55,NA,2013,4.55,0.01
6441,P. serotina,11,N,59.5,6.9,NA,NA,7.74,NA,2013,7.74,1.77
6642,U. americana,11,S,66.5,5.5,NA,NA,6.4,NA,2013,6.4,NA
6643,U. americana,11,S,81.5,6,NA,NA,45.92,NA,2013,45.92,NA
6040,B. populifolia,11,N,126.5,8.4,NA,NA,33.22,NA,2013,33.22,5.06
6041,B. populifolia,11,N,189.5,187,NA,NA,267.13,NA,2013,267.13,162.54
6043,B. populifolia,11,S,221.5,28.6,NA,NA,505.39,NA,2013,505.39,376.33
6042,B. populifolia,11,S,252,32.3,NA,NA,643.91,NA,2013,643.91,447.31
6241,P. grandidentata,11,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6240,P. grandidentata,11,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6243,P. grandidentata,11,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6246,P. grandidentata,12,S,21,2.5,NA,NA,NA,NA,2013,NA,NA
6644,U. americana,12,N,38.5,3.6,NA,NA,NA,NA,2013,NA,NA
6244,P. grandidentata,12,N,43.5,2.5,NA,NA,NA,NA,2013,NA,NA
6647,U. americana,12,S,46,3.7,NA,NA,4.08,NA,2013,4.08,NA
6444,P. serotina,12,N,51,7,NA,NA,11.31,NA,2013,11.31,1.15
6447,P. serotina,12,S,55.5,6,NA,NA,21.06,NA,2013,21.06,2.46
6645,U. americana,12,N,60,4.6,NA,NA,7.55,NA,2013,7.55,NA
6446,P. serotina,12,S,81.5,6.7,NA,NA,33.36,NA,2013,33.36,4.77
6646,U. americana,12,S,83,7.3,NA,NA,55.85,NA,2013,55.85,12.33
6445,P. serotina,12,N,107,6.3,NA,NA,31.65,NA,2013,31.65,3.67
6047,B. populifolia,12,S,113,16,NA,NA,137.27,NA,2013,137.27,48.12
6045,B. populifolia,12,N,123.4,14,NA,NA,79.96,NA,2013,79.96,51.78
6044,B. populifolia,12,N,193.5,21,NA,NA,428.2,NA,2013,428.2,241.5
6046,B. populifolia,12,S,255.5,29.6,NA,NA,936.32,NA,2013,936.32,457.98
6245,P. grandidentata,12,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6247,P. grandidentata,12,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6651,U. americana,13,S,28,3.6,NA,NA,3.31,NA,2013,3.31,0.24
6650,U. americana,13,S,42.5,4.4,NA,NA,2.48,NA,2013,2.48,NA
6648,U. americana,13,N,47,5.5,NA,NA,8.94,NA,2013,8.94,NA
6649,U. americana,13,N,55.5,5,NA,NA,11.18,NA,2013,11.18,NA
6050,B. populifolia,13,S,58.5,5,NA,NA,2.77,NA,2013,2.77,0.1
6048,B. populifolia,13,N,NA,NA,NA,NA,2.81,NA,2013,2.81,NA
6448,P. serotina,13,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6451,P. serotina,13,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6248,P. grandidentata,13,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6049,B. populifolia,13,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6249,P. grandidentata,13,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6449,P. serotina,13,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6250,P. grandidentata,13,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6051,B. populifolia,13,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6450,P. serotina,13,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6251,P. grandidentata,13,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6453,P. serotina,14,N,6,3.5,NA,NA,NA,NA,2013,NA,NA
6452,P. serotina,14,N,8.5,2.1,NA,NA,NA,NA,2013,NA,NA
6455,P. serotina,14,S,8.5,0.7,NA,NA,NA,NA,2013,NA,NA
6454,P. serotina,14,S,12,2.7,NA,NA,NA,NA,2013,NA,NA
6655,U. americana,14,S,23.5,2.4,NA,NA,0.77,NA,2013,0.77,NA
6654,U. americana,14,S,44.5,8.7,NA,NA,5.71,NA,2013,5.71,0.43
6653,U. americana,14,N,52.5,4.4,NA,NA,5.34,NA,2013,5.34,NA
6054,B. populifolia,14,S,62.5,5,NA,NA,NA,NA,2013,NA,NA
6052,B. populifolia,14,N,63,6,NA,NA,3.32,NA,2013,3.32,0.12
6652,U. americana,14,N,71.5,5.4,NA,NA,7.27,NA,2013,7.27,NA
6053,B. populifolia,14,N,NA,NA,NA,NA,5.27,NA,2013,5.27,0.39
6252,P. grandidentata,14,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6253,P. grandidentata,14,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6255,P. grandidentata,14,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6055,B. populifolia,14,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6254,P. grandidentata,14,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6459,P. serotina,15,S,2,NA,NA,NA,NA,NA,2013,NA,NA
6458,P. serotina,15,S,6,NA,NA,NA,NA,NA,2013,NA,NA
6659,U. americana,15,S,8.5,0.9,NA,NA,NA,NA,2013,NA,NA
6457,P. serotina,15,N,12,1.9,NA,NA,NA,NA,2013,NA,NA
6059,B. populifolia,15,S,31.5,3.8,NA,NA,1.65,NA,2013,1.65,NA
6657,U. americana,15,N,53,5.2,NA,NA,8.32,NA,2013,8.32,NA
6056,B. populifolia,15,N,56,4.1,NA,NA,NA,NA,2013,NA,NA
6058,B. populifolia,15,S,71.5,7.7,NA,NA,21.4,NA,2013,21.4,2.76
6656,U. americana,15,N,75.5,5.2,NA,NA,35.32,NA,2013,35.32,NA
6658,U. americana,15,S,95.5,6.9,NA,NA,NA,NA,2013,NA,NA
6057,B. populifolia,15,N,177,20.9,NA,NA,259.89,NA,2013,259.89,198.53
6256,P. grandidentata,15,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6257,P. grandidentata,15,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6456,P. serotina,15,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6259,P. grandidentata,15,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6258,P. grandidentata,15,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6463,P. serotina,16,S,8.5,1.3,NA,NA,NA,NA,2013,NA,NA
6461,P. serotina,16,N,11,3,NA,NA,NA,NA,2013,NA,NA
6462,P. serotina,16,S,11,2.3,NA,NA,1.51,NA,2013,1.51,NA
6661,U. americana,16,N,44,4.6,NA,NA,NA,NA,2013,NA,NA
6662,U. americana,16,S,49,5.4,NA,NA,6.6,NA,2013,6.6,NA
6660,U. americana,16,N,50.5,5.3,NA,NA,NA,NA,2013,NA,NA
6663,U. americana,16,S,66.5,5.1,NA,NA,9.24,NA,2013,9.24,NA
6062,B. populifolia,16,S,104.5,10.8,NA,NA,65.58,NA,2013,65.58,45.38
6063,B. populifolia,16,S,113.5,11.2,NA,NA,65.89,NA,2013,65.89,45.31
6060,B. populifolia,16,N,177.5,19,NA,NA,274.31,NA,2013,274.31,165
6261,P. grandidentata,16,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6263,P. grandidentata,16,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6262,P. grandidentata,16,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6460,P. serotina,16,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6260,P. grandidentata,16,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6061,B. populifolia,16,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6467,P. serotina,17,S,3,NA,NA,NA,3.72,NA,2013,3.72,NA
6465,P. serotina,17,N,10,0.4,NA,NA,0.66,NA,2013,0.66,NA
6466,P. serotina,17,S,13,2.5,NA,NA,NA,NA,2013,NA,NA
6666,U. americana,17,S,32.5,3.9,NA,NA,3.81,NA,2013,3.81,NA
6664,U. americana,17,N,54,5.2,NA,NA,NA,NA,2013,NA,NA
6667,U. americana,17,S,57,6.1,NA,NA,27.78,NA,2013,27.78,1.59
6665,U. americana,17,N,67.5,6.3,NA,NA,27.46,NA,2013,27.46,1.36
6067,B. populifolia,17,S,96,13.1,NA,NA,138.55,NA,2013,138.55,94.55
6065,B. populifolia,17,N,108,11.3,NA,NA,94.61,NA,2013,94.61,97.09
6064,B. populifolia,17,N,144,13.6,NA,NA,120.68,NA,2013,120.68,64.87
6066,B. populifolia,17,S,242,25.3,NA,NA,547.1,NA,2013,547.1,446.82
6464,P. serotina,17,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6264,P. grandidentata,17,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6265,P. grandidentata,17,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6364,P. grandidentata,17,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6267,P. grandidentata,17,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6469,P. serotina,18,N,5.5,NA,NA,NA,NA,NA,2013,NA,NA
6468,P. serotina,18,N,10,2.5,NA,NA,0.53,NA,2013,0.53,NA
6668,U. americana,18,N,23.5,2.8,NA,NA,2.9814,NA,2013,2.9814,NA
6271,P. grandidentata,18,S,38.5,3.9,NA,NA,NA,NA,2013,NA,NA
6669,U. americana,18,N,43.5,3.9,NA,NA,3.38,NA,2013,3.38,NA
6670,U. americana,18,S,45.5,4.8,NA,NA,14.93,NA,2013,14.93,4.05
6671,U. americana,18,S,50.5,4.8,NA,NA,11.44,NA,2013,11.44,0.43
6071,B. populifolia,18,S,61,5.4,NA,NA,16.53,NA,2013,16.53,3.48
6470,P. serotina,18,S,93,6.2,NA,NA,NA,NA,2013,NA,NA
6070,B. populifolia,18,S,93.5,6.4,NA,NA,27.96,NA,2013,27.96,8.02
6068,B. populifolia,18,N,124,11.5,NA,NA,90.58,NA,2013,90.58,44.95
6069,B. populifolia,18,N,154,13.8,NA,NA,245.52,NA,2013,245.52,71.5
6359,P. grandidentata,18,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6268,P. grandidentata,18,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6558,P. serotina,18,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6270,P. grandidentata,18,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6488,P. serotina,19,N,9.5,1.4,NA,NA,NA,NA,2013,NA,NA
6675,U. americana,19,S,36,4.4,NA,NA,NA,NA,2013,NA,NA
6672,U. americana,19,N,39.5,4,NA,NA,NA,NA,2013,NA,NA
6673,U. americana,19,N,49,3.8,NA,NA,49.89,NA,2013,49.89,3.07
6674,U. americana,19,S,49.5,4.3,NA,NA,6.94,NA,2013,6.94,NA
6272,P. grandidentata,19,N,62.5,7.6,NA,NA,76.11,NA,2013,76.11,20.23
6075,B. populifolia,19,S,65.5,4.7,NA,NA,3.43,NA,2013,3.43,0.19
6273,P. grandidentata,19,N,74,5.4,NA,NA,47.95,NA,2013,47.95,2.79
6074,B. populifolia,19,S,88.5,10.7,NA,NA,49.34,NA,2013,49.34,49.8
6073,B. populifolia,19,N,90,6.2,NA,NA,11.26,NA,2013,11.26,0.9
6072,B. populifolia,19,N,112.5,7.3,NA,NA,46.39,NA,2013,46.39,10.14
6489,P. serotina,19,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6490,P. serotina,19,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6491,P. serotina,19,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6275,P. grandidentata,19,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6274,P. grandidentata,19,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6487,P. serotina,20,S,1,NA,NA,NA,1.76,NA,2013,1.76,0.21
6484,P. serotina,20,N,2,NA,NA,NA,NA,NA,2013,NA,NA
6485,P. serotina,20,N,3,NA,NA,NA,NA,NA,2013,NA,NA
6679,U. americana,20,S,35,2.3,NA,NA,2.35,NA,2013,2.35,NA
6678,U. americana,20,S,63.5,6.5,NA,NA,NA,NA,2013,NA,NA
6677,U. americana,20,N,97.5,7.6,NA,NA,54.61,NA,2013,54.61,6.49
6079,B. populifolia,20,S,103,8.1,NA,NA,43.51,NA,2013,43.51,11.74
6676,U. americana,20,N,119,7.9,NA,NA,NA,NA,2013,NA,NA
6486,P. serotina,20,S,119,9.2,NA,NA,96.77,NA,2013,96.77,18.92
6278,P. grandidentata,20,S,128,9.8,NA,NA,169.7,NA,2013,169.7,65.83
6076,B. populifolia,20,N,129.5,15.4,NA,NA,59.81,NA,2013,59.81,45.45
6078,B. populifolia,20,S,139,11.9,NA,NA,68.98,NA,2013,68.98,18.53
6276,P. grandidentata,20,N,156,12.2,NA,NA,163.01,NA,2013,163.01,56.44
6077,B. populifolia,20,N,187,29.4,NA,NA,554.87,NA,2013,554.87,483.17
6370,P. grandidentata,20,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6279,P. grandidentata,20,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6481,P. serotina,21,N,7,NA,NA,NA,0.14,NA,2013,0.14,NA
6682,U. americana,21,S,12,1.9,NA,NA,0.24,NA,2013,0.24,NA
6681,U. americana,21,N,18,3.2,NA,NA,NA,NA,2013,NA,NA
6683,U. americana,21,S,25.5,3.2,NA,NA,1.17,NA,2013,1.17,NA
6680,U. americana,21,N,39,3.9,NA,NA,2.65,NA,2013,2.65,0.05
6081,B. populifolia,21,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6480,P. serotina,21,N,NA,NA,NA,NA,19.07,NA,2013,19.07,NA
6283,P. grandidentata,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6082,B. populifolia,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6280,P. grandidentata,21,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6360,P. grandidentata,21,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6080,B. populifolia,21,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6483,P. serotina,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6482,P. serotina,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6083,B. populifolia,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6282,P. grandidentata,21,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6684,U. americana,22,N,15.5,2.5,NA,NA,1,NA,2013,1,NA
6473,P. serotina,22,N,17,0.9,NA,NA,NA,NA,2013,NA,NA
6687,U. americana,22,S,20.5,2.6,NA,NA,0.93,NA,2013,0.93,0.08
6472,P. serotina,22,N,26,1.9,NA,NA,0.82,NA,2013,0.82,NA
6086,B. populifolia,22,S,27.5,5.3,NA,NA,0.2,NA,2013,0.2,NA
6685,U. americana,22,N,46,3.7,NA,NA,1.6603,NA,2013,1.6603,NA
6287,P. grandidentata,22,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6475,P. serotina,22,S,NA,NA,NA,NA,0.58,NA,2013,0.58,NA
6686,U. americana,22,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6087,B. populifolia,22,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6358,P. grandidentata,22,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6284,P. grandidentata,22,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6084,B. populifolia,22,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6085,B. populifolia,22,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6557,P. serotina,22,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6286,P. grandidentata,22,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6479,P. serotina,23,S,5,NA,NA,NA,NA,NA,2013,NA,NA
6477,P. serotina,23,N,10,1.9,NA,NA,NA,NA,2013,NA,NA
6478,P. serotina,23,S,23,3.8,NA,NA,0.17,NA,2013,0.17,NA
6688,U. americana,23,N,30,4.5,NA,NA,NA,NA,2013,NA,NA
6689,U. americana,23,N,60.5,2.9,NA,NA,NA,NA,2013,NA,NA
6690,U. americana,23,S,62.5,5.1,NA,NA,4.16,NA,2013,4.16,1.31
6691,U. americana,23,S,84.5,6.5,NA,NA,11.51,NA,2013,11.51,1.49
6088,B. populifolia,23,N,85.5,10.5,NA,NA,26.19,NA,2013,26.19,9.841
6090,B. populifolia,23,S,100.5,11.9,NA,NA,45.94,NA,2013,45.94,12.55
6089,B. populifolia,23,N,101.5,10.4,NA,NA,NA,NA,2013,NA,NA
6289,P. grandidentata,23,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6288,P. grandidentata,23,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6476,P. serotina,23,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6091,B. populifolia,23,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6291,P. grandidentata,23,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6290,P. grandidentata,23,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6492,P. serotina,24,N,4,NA,NA,NA,NA,NA,2013,NA,NA
6695,U. americana,24,S,4,NA,NA,NA,0.19,NA,2013,0.19,NA
6494,P. serotina,24,S,7.5,NA,NA,NA,NA,NA,2013,NA,NA
6493,P. serotina,24,N,10,0.9,NA,NA,NA,NA,2013,NA,NA
6694,U. americana,24,S,24,2.6,NA,NA,NA,NA,2013,NA,NA
6692,U. americana,24,N,44.5,3.3,NA,NA,1.51,NA,2013,1.51,NA
6693,U. americana,24,N,50.5,4.3,NA,NA,7.56,NA,2013,7.56,NA
6293,P. grandidentata,24,N,57.5,3.9,NA,NA,24.43,NA,2013,24.43,NA
6292,P. grandidentata,24,N,68.5,3.8,NA,NA,2.82,NA,2013,2.82,NA
6095,B. populifolia,24,S,110.5,9.6,NA,NA,122.4,NA,2013,122.4,44.96
6093,B. populifolia,24,N,159.5,21.6,NA,NA,249.69,NA,2013,249.69,132.08
6092,B. populifolia,24,N,212,24.8,NA,NA,238.79,NA,2013,238.79,153.31
6495,P. serotina,24,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6094,B. populifolia,24,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6295,P. grandidentata,24,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6294,P. grandidentata,24,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6297,P. grandidentata,25,N,14,0.8,NA,NA,NA,NA,2013,NA,NA
6698,U. americana,25,S,34.5,4.5,NA,NA,16.19,NA,2013,16.19,NA
6696,U. americana,25,N,55.5,3.9,NA,NA,16.44,NA,2013,16.44,1.96
6697,U. americana,25,N,NA,NA,NA,NA,1.59,NA,2013,1.59,NA
6097,B. populifolia,25,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6096,B. populifolia,25,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6296,P. grandidentata,25,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6497,P. serotina,25,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6496,P. serotina,25,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6099,B. populifolia,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6498,P. serotina,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6298,P. grandidentata,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6098,B. populifolia,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6699,U. americana,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6499,P. serotina,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6299,P. grandidentata,25,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6702,U. americana,26,S,5.5,NA,NA,NA,0.58,NA,2013,0.58,NA
6500,P. serotina,26,N,14.5,2,NA,NA,NA,NA,2013,NA,NA
6701,U. americana,26,N,25.5,1.4,NA,NA,4.04,NA,2013,4.04,NA
6700,U. americana,26,N,26,1.9,NA,NA,3.51,NA,2013,3.51,NA
6303,P. grandidentata,26,S,63,4.2,NA,NA,17.72,NA,2013,17.72,1.88
6103,B. populifolia,26,S,74.5,6.9,NA,NA,15.14,NA,2013,15.14,1.15
6102,B. populifolia,26,S,84.5,9.2,NA,NA,24.91,NA,2013,24.91,8.99
6101,B. populifolia,26,N,89,4.9,NA,NA,13.44,NA,2013,13.44,0.74
6301,P. grandidentata,26,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6703,U. americana,26,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6302,P. grandidentata,26,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6100,B. populifolia,26,N,NA,NA,NA,NA,2.5,NA,2013,2.5,0.12
6300,P. grandidentata,26,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6501,P. serotina,26,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6502,P. serotina,26,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6503,P. serotina,26,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6706,U. americana,27,S,2.2,33.5,NA,NA,2.1,NA,2013,2.1,NA
6705,U. americana,27,N,12,2.2,NA,NA,1.34,NA,2013,1.34,NA
6707,U. americana,27,S,49.5,4.1,NA,NA,14.1,NA,2013,14.1,NA
6704,U. americana,27,N,54.5,4.1,NA,NA,10.52,NA,2013,10.52,NA
6106,B. populifolia,27,S,60,4,NA,NA,33.74,NA,2013,33.74,2.87
6507,P. serotina,27,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6505,P. serotina,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6105,B. populifolia,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6305,P. grandidentata,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6104,B. populifolia,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6304,P. grandidentata,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6504,P. serotina,27,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6307,P. grandidentata,27,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6506,P. serotina,27,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6107,B. populifolia,27,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6306,P. grandidentata,27,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6709,U. americana,28,N,9,1.7,NA,NA,1.03,NA,2013,1.03,NA
6708,U. americana,28,N,19.5,1.3,NA,NA,2.18,NA,2013,2.18,NA
6710,U. americana,28,S,28,3.3,NA,NA,7.74,NA,2013,7.74,0.07
6711,U. americana,28,S,33.5,2.8,NA,NA,1.06,NA,2013,1.06,NA
6109,B. populifolia,28,N,79.5,8.4,NA,NA,51.11,NA,2013,51.11,17.57
6508,P. serotina,28,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6308,P. grandidentata,28,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6511,P. serotina,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6111,B. populifolia,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6108,B. populifolia,28,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6509,P. serotina,28,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6309,P. grandidentata,28,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6310,P. grandidentata,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6311,P. grandidentata,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6158,B. populifolia,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6510,P. serotina,28,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6715,U. americana,29,S,3.5,NA,NA,NA,0.95,NA,2013,0.95,NA
6714,U. americana,29,S,17,2.1,NA,NA,NA,NA,2013,NA,NA
6712,U. americana,29,N,33,2.6,NA,NA,4.32,NA,2013,4.32,NA
6713,U. americana,29,N,34.5,2.5,NA,NA,NA,NA,2013,NA,NA
6515,P. serotina,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6513,P. serotina,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6512,P. serotina,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6312,P. grandidentata,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6112,B. populifolia,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6371,P. grandidentata,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6113,B. populifolia,29,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6115,B. populifolia,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6514,P. serotina,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6114,B. populifolia,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6314,P. grandidentata,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6361,P. grandidentata,29,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6517,P. serotina,30,N,3,NA,NA,NA,NA,NA,2013,NA,NA
6519,P. serotina,30,S,7,NA,NA,NA,NA,NA,2013,NA,NA
6518,P. serotina,30,S,8,1.2,NA,NA,NA,NA,2013,NA,NA
6316,P. grandidentata,30,N,11,1.5,NA,NA,NA,NA,2013,NA,NA
6516,P. serotina,30,N,12.5,1,NA,NA,NA,NA,2013,NA,NA
6718,U. americana,30,S,15.5,1.4,NA,NA,NA,NA,2013,NA,NA
6119,B. populifolia,30,S,29,1.5,NA,NA,1.52,NA,2013,1.52,NA
6717,U. americana,30,N,31.5,3.5,NA,NA,NA,NA,2013,NA,NA
6716,U. americana,30,N,33,2.1,NA,NA,NA,NA,2013,NA,NA
6719,U. americana,30,S,40.5,2.8,NA,NA,8.15,NA,2013,8.15,0.07
6118,B. populifolia,30,S,42.5,4.3,NA,NA,2.91,NA,2013,2.91,0.53
6117,B. populifolia,30,N,55,3.5,NA,NA,NA,NA,2013,NA,NA
6317,P. grandidentata,30,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6116,B. populifolia,30,N,NA,NA,NA,NA,NA,NA,2013,NA,NA
6318,P. grandidentata,30,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6319,P. grandidentata,30,S,NA,NA,NA,NA,NA,NA,2013,NA,NA
6523,P. serotina,31,S,2,NA,NA,NA,NA,NA,2013,NA,NA
6323,P. grandidentata,31,S,15.5,1.6,NA,NA,NA,NA,2013,NA,NA
6721,U. americana,31,N,46.5,3.5,NA,NA,5.86,NA,2013,5.86,NA
6720,U. americana,31,N,54,5.1,NA,NA,12.33,NA,2013,12.33,0.17
6722,U. americana,31,S,61.5,5.6,NA,NA,9.84,NA,2013,9.84,NA
6723,U. americana,31,S,65,4.7,NA,NA,11.69,NA,2013,11.69,NA
6121,B. populifolia,31,N,94.5,10.6,NA,NA,79.69,NA,2013,79.69,38.64
